SN;WHP;WFR;OFR;GFR;WPD;API;ID;WBHT;BHP
654;457;0;1822;250.00;5673;27.6;3.958;160;2414
655;220;2144;7782;3058.00;6289;33.4;3.958;217;2349
656;480;6114;2389;2045.00;6725;37.3;3.958;225;2967
657;390;30;9821;5019.00;6517;31.7;4.000;200;2316
658;493;1116;3533;1131.00;6062;35.3;4.000;233;2511
659;360;8;3941;571.00;5007;26.4;3.958;160;2138
660;280;3309;7758;4259.00;6760.2;37.3;3.958;225;2571
661;280;588;14121;6312.00;6281;33.4;3.958;217;2289
662;535;4183;4217;2952.00;5728;33.4;3.958;217;2289
663;255;1897;1603;545.00;6333;33.4;4.000;217;2341
664;300;569;11799;6171.00;6363;33.4;4.000;217;2424
665;390;1546;5354;2827.00;6603;31.7;4.000;200;2293
666;1200;337;2522;2335.00;5981;38.1;4.000;207;2635
667;500;697;2161;640.00;6222;33.4;4.000;217;2452
668;900;65;6400;5472.00;5920;37.3;4.000;225;2789
669;820;58;2175;574.00;6724;38.3;4.000;209;3103
670;200;1010;8170;915.00;5921;27.6;4.000;160;2310
671;360;420;12720;6958.00;6703;37.3;4.000;225;2652
672;950;476;803;472.00;6537;31.7;4.000;200;2922
673;360;4818;8064;4782.00;6958.5;33.4;3.958;217;3076
674;350;2433;6256;1076.00;4882;26.4;3.958;160;2129
675;260;1275;973;546.00;6739;33.4;3.958;217;2380
676;310;2871;2704;1941.00;6698;31.7;3.958;200;2342
677;500;80;4608;2088.00;6728;31.7;4.000;200;2366
678;195;2168;4714;2154.00;6716;33.4;3.958;217;2169
679;255;184;3504;890.00;6105;33.4;4.000;217;2019
680;1410;1532;3698;532.00;6682;33.4;4.000;217;3589
681;1000;13;6423;2736.00;6440;37.3;4.000;225;2729
682;250;2084;1776;938.00;6277;33.4;2.992;217;2263
683;1090;1206;1689;792.00;6555;33.4;2.992;217;3140
684;428;26;13045;4983.00;6199;33.4;3.958;217;2210
685;370;2198;4847;1822.00;5856;33.4;4.000;217;2107
686;740;1115;14815;7630.00;6599;37.3;4.000;225;2836
687;400;1294;3645;470.00;5096;37.3;2.441;225;2282
688;320;2339;1173;569.00;5816;33.4;4.000;217;2262
689;405;5598;2988;1461.00;6556;33.4;3.958;217;2673
690;540;3346;7589;3332.00;6688;37.3;3.958;225;2686
691;520;646;6227;3045.00;6592;37.3;4.000;225;2330
692;200;4460;3419;1741.00;6709;31.7;3.958;200;2395
693;440;72;7091;3241.00;5948;31.7;4.000;200;1999
694;370;6844;547;497.00;7164;31.7;4.000;200;2801
695;420;238;3933;397.00;6668;35.3;6.276;233;2334
696;205;2908;5060;2454.00;6527;33.4;4.000;217;2155
697;225;2040;7360;3165.00;6610;33.4;4.000;217;2163
698;680;1551;637;364.00;6535;33.4;3.958;217;2958
699;200;10171;2039;779.00;5566;33.4;3.958;217;2349
700;315;298;9008;4702.00;6618;33.4;3.958;217;1972
701;270;4207;4156;1671.00;6407;33.4;4.000;217;2359
702;235;1907;2581;524.00;6230;31.7;2.992;200;2379
703;480;602;910;248.00;6034;33.4;3.958;217;2458
704;1180;8;7706;5942.00;6327;37.3;3.958;225;2827
705;340;1904;3257;967.00;6601;31.7;2.992;200;2417
706;465;6;5852;2674.00;6135;31.7;4.000;200;1957
707;260;2067;8371;3072.00;6409;33.4;3.958;217;2053
708;1180;63;2915;2198.00;6733;38.3;3.958;209;3046
709;235;1718;6788;2125.00;6611;33.4;3.958;217;2100
710;215;281;7323;3603.00;6390;33.4;4.000;217;1705
711;340;380;4090;1910.00;6621;33.4;3.958;217;1993
712;315;3342;1661;772.00;6809;31.7;2.992;200;2547
713;215;1111;6998;3408.00;6514;33.4;3.958;217;1818
714;230;200;5522;2170.00;6608;33.4;4.000;217;1846
715;320;834;5535;2751.00;6210;33.4;4.000;217;1839
716;220;1835;3777;1254.00;6518;33.4;3.958;217;2051
717;230;2113;4101;1870.00;6162;33.4;6.276;217;1819
718;405;863;7596;3274.00;6232;33.4;3.958;217;1999
719;265;742;5288;2300.00;6558;33.4;4.000;217;1898
720;285;568;6272;2101.00;6484;33.4;4.000;217;2123
721;465;150;5217;2368.00;6633;33.4;3.958;217;2254
722;400;1404;1780;895.00;6854;33.4;2.992;217;2541
723;200;663;4007;593.00;5900;27.6;4.000;160;2387
724;490;8;3922;2036.00;6583;31.7;4.000;200;2137
725;246;99;9791;2379.00;6380;33.4;4.000;217;2106
726;340;4356;2844;1561.00;6209;33.4;4.000;217;2341
727;800;596;1102;889.00;6933;38.3;4.000;209;3011
728;215;1379;3906;1066.00;6392;33.4;2.992;217;2168
729;180;459;3951;364.00;5071;27.6;4.000;160;2076
730;200;6895;3505;1717.00;6136;33.4;3.958;217;2283
731;330;4798;1060;328.00;6382;37.3;3.958;225;2738
732;1149;86;1140;7183.00;4790;42.5;3.958;185;1970
733;350;47;5153;830.00;6950;33.4;4.000;217;2233
734;1100;140;9860;2357.00;6206;37.3;4.000;225;2885
735;620;863;6638;2303.00;6368;33.4;4.000;217;2504
736;610;520;12824;12016.00;6806;38.3;3.958;209;2838
737;380;9500;3000;1248.00;6517;33.4;4.000;217;2810
738;300;8116;3512;1914.00;6505;33.4;3.958;217;2517
739;560;3605;5296;5131.00;6782;38.3;4.000;209;2810
740;1030;1855;9883;5673.00;5418;37.3;4.000;225;2563
741;330;2239;1961;1024.00;6482;33.4;3.958;217;2379
742;480;2831;5352;2665.00;6559;37.3;4.000;225;2424
743;340;3041;1594;725.00;5875;33.4;2.992;217;2351
744;915;2269;973;506.00;7151;33.4;2.992;217;3270
745;310;5212;8397;4904.00;6719;37.3;3.958;225;3023
746;250;452;5652;639.00;6063;31.7;2.992;200;2266
747;720;5676;6324;4781.00;6870;38.3;3.958;209;2933
748;210;1638;7311;3817.00;7030;31.7;3.958;200;1858
749;370;1137;4463;2731.00;6472;33.4;3.958;217;2063
750;570;266;9584;5894.00;6584;37.3;3.958;225;2884
751;380;2053;7541;2850.00;6637;31.7;3.958;200;2379
752;240;1082;3078;416.00;6360;33.4;4.000;217;2257
753;1200;181;2401;2168.00;6701;38.3;2.992;209;3014
754;210;192;8527;3624.00;6064;33.4;4.000;217;1754
755;840;1339;8292;6219.00;6344;37.3;2.992;225;2869
756;330;540;5600;2923.00;5843;33.4;4.000;217;1796
757;500;44;5474;2907.00;6738;31.7;4.000;200;2152
758;270;2396;7422;3592.00;6361;33.4;3.958;217;2030
759;850;413;3887;1458.00;6451;33.4;3.958;217;2691
760;380;1721;3268;2114.00;6769;31.7;4.000;200;2278
761;200;1803;2057;883.00;6355;31.7;2.992;200;2177
762;230;3362;4624;2210.00;6852;31.7;3.958;200;2223
763;780;5549;4119;3315.00;6920;38.3;4.000;209;3325
764;410;11;10989;5593.00;5803;31.7;4.000;200;1865
765;460;4595;1805;998.00;6736;33.4;4.000;217;2833
766;190;569;3496;1374.00;6071;33.4;3.958;217;1940
767;620;24;3997;1447.00;6496;31.7;4.000;200;2336
768;250;1758;4203;1765.00;6753;31.7;4.000;200;2107
769;1350;32;3206;4148.00;4650;42.5;3.958;185;2199
770;280;4636;2486;1377.00;6007;33.4;3.958;217;2205
771;350;2622;2774;802.00;5850;33.4;3.958;217;2236
772;395;479;14962;7616.00;6769;37.3;3.958;225;2340
773;470;2481;523;118.00;6022;33.4;3.958;217;2630
774;320;3568;826;9.00;6668;33.4;4.000;217;2851
775;420;5364;7081;3222.00;6642;37.3;2.992;225;2960
776;430;1051;5131;2068.00;5835;31.7;2.992;200;2193
777;250;1269;6764;3578.00;5947;33.4;3.958;217;1746
778;230;167;15004;6017.00;6624;33.4;6.276;217;2050
779;240;202;4979;831.00;6315;33.4;4.000;217;2079
780;260;334;5966;2894.00;6546;31.7;4.000;200;1903
781;285;2593;5560;2652.00;6420;33.4;3.958;217;2122
782;240;283;7363;3335.00;6648;31.7;4.000;200;1913
783;350;3979;1788;681.00;6533;33.4;4.000;217;2533
784;1100;80;8820;1349.00;6545;37.3;3.958;225;2940
785;185;3084;815;283.00;6259;33.4;2.992;217;2302
786;200;3017;4583;2058.00;5985;33.4;3.958;217;2303
787;780;1981;2532;1068.00;4933;37.3;4.000;225;2323
788;260;2287;3893;1978.00;5985;33.4;3.958;217;1928
789;195;4651;9191;4430.00;6575;33.4;6.276;217;2105
790;210;3362;5259;1935.00;6519;33.4;4.000;217;2402
791;680;1843;790;848.00;6179;37.6;2.992;196;2702
792;490;5879;1591;364.00;6840;33.4;4.000;217;2934
793;195;1370;1675;693.00;6342;33.4;4.000;217;2050
794;360;249;11620;3788.00;6519;33.4;4.000;217;2179
795;460;1544;4196;2056.00;6302;33.4;3.958;217;2224
